CourseName,University,DifficultyLevel,CourseRating,CourseURL,CourseDescription,Skills
Build a Machine Learning Web App with Streamlit and Python,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/machine-learning-streamlit-python,"Welcome to this hands-on project on building your first machine learning web app with the Streamlit library in Python. By the end of this project, you are going to be comfortable with using Python and Streamlit to build beautiful and interactive ML web apps with zero web development experience! We are going to load, explore, visualize and interact with data, and generate dashboards in less than 100 lines of Python code! Our web application will allows users to choose what classification algorithm they want to use and let them interactively set hyper-parameter values, all without them knowing to code!  Prior experience with writing simple Python scripts and using pandas for data manipulation is recommended. It is required that you have an understanding of Logistic Regression, Support Vector Machines, and Random Forest Classifiers and how to use them in scikit-learn.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Logistic Regression  web  Python Programming  Machine Learning  Scikit-Learn  interactivity  Computer Programming  web application  Pandas  Web Development data-science machine-learning
Python Geospatial Data Analysis,Coursera Project Network,Beginner,4,https://www.coursera.org/learn/python-geospatial-data-analysis,"Note: Read the prerequisites carefully. If you do not know intermediate pandas and intermediate Python you will not be able to understand this project.  This guided project is for beginners who want to learn about geospatial data analysis using Python. You will analyze crime data from the Boston Police Department. It is a clean dataset, so you can get straight to generating interactive maps.  Generate  interactive maps in under an hour, just like this: https://vinitasilaparasetty.github.io/coursera-spatial-data-analysis/  By the end of this project, you will know how to generate maps using folium and analyze geospatial data using geovisualization. Then you will learn how to identify possible contributing factors for the problem statement.  Special Features:  1) Learn a cool hack using one line of code to convert a jupyter notebook into a dashboard. 2) After you complete this project, you get a jupyter notebook of all the work you covered. It acts as a useful learning tool that you can refer to at any time in the future.  3) Examples for logical thinking required for geospatial data analysis are provided.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",crime  Geographic Information System  Geovisualization  project  ArcGIS  SQL  Heat Map  Python Programming  Map  Data Analysis data-science data-analysis
Introduction to Pointers and Memory Management in C/C++,Coursera Project Network,Beginner,4.3,https://www.coursera.org/learn/introduction-to-pointers-and-memory-in-c-and-cpp,"In this 1-hour long project-based course, you will learn how to create memory-safe applications in both C and C++, discover how to use pointers and dynamic memory in a modern application, and implement/customize the Big 3/5 for your own application. By the end of the project, you will have a working knowledge of how to use memory in C and C++, and learn how to create, manipulate, and destroy pointers.   Memory management is critical to modern high-performance applications, with C/C++ continuing to be the industry standard for applications dealing with dynamic memory. The ability to significantly speed up your program using pointers/dynamic memory continues to draw programmers to C and C++. In addition, memory management is an essential topic for many students who need to learn about how their computer stores and alters variables in their programs.   This course works on the Rhyme platform, which allows you to have a custom Windows VM that ensures you do not have to worry about any of the setup work for your application.  Students will be able to code along on their desktop and learn by coding with the instructor. At the end of the course, you will receive the files you created in the course.   Note: This course works best for learners who are based in the North America region. We are currently working on providing the same experience in other regions.",memory address  c++  universal windows platform apps  smart pointer  c programming  standard library  debuggers  memory management  supercomputer  memory computer-science software-development
Using SAS Viya REST APIs with Python and R,SAS,Advanced,4.8,https://www.coursera.org/learn/sas-viya-rest-api-python-r,"SAS Viya is an in-memory distributed environment used to analyze big data quickly and efficiently. In this course, you�ll learn how to use the SAS Viya APIs to take control of SAS Cloud Analytic Services from a Jupyter Notebook using R or Python. You�ll learn to upload data into the cloud, analyze data, and create predictive models with SAS Viya using familiar open source functionality via the SWAT package -- the SAS Scripting Wrapper for Analytics Transfer. You�ll learn how to create both machine learning and deep learning models to tackle a variety of data sets and complex problems. And once SAS Viya has done the heavy lifting, you�ll be able to download data to the client and use native open source syntax to compare results and create graphics.",predictive modelling  models of computation  Natural Language Processing  recurrent neural network  Network Model  Time Series  representational state transfer  Deep Learning  object detection  application programming interfaces data-science data-analysis
Create Your First Multithreaded Application in Java,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/create-your-first-multithreaded-application,"In this 2-hour long project-based course, you will learn how to create a banking application that uses conditions and locks to ensure thread safety, practice designing programs that take advantage of multiple threads without losing data integrity, and learn how to apply multithreading to your own projects. By the end of the guided project, you will be able to create your own thread-safe Java multithreaded applications.  Mutithreading is an essential part of modern programming. Almost all modern computers contain multi-core CPUs, GPUs, or even multiple CPUs. Multithreading allows us to have multiple parallel threads of execution, allowing our programs to become multiple times faster than a single threaded application. In addition, understanding parallel programming principles is essential for building many modern applications such as video games, data science, and server connections. Understanding how to create Java multithreaded applications will greatly expand your programming potential.  This course works on the Rhyme platform, which allows you to have a custom Windows VM ensuring you do not have to worry about any of the setup work for your application.  Students will be able to code along on their desktop and learn by coding with the instructor. At the end of the course, you will receive the files you created in the course.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Banking  threadsafe  ordered pair  failure  project  graphics processing units  recursively enumerable set  race condition  java (software platform)  thread pool computer-science software-development
Manipulate Object Properties with C# in Unity,Coursera Project Network,Beginner,4.9,https://www.coursera.org/learn/manipulate-object-properties-c-sharp-unity,"In this two-hour, project-based course, you�ll use Unity to learn about directly manipulating certain properties of GameObjects, including color, scale and position. In a simple space environment, you'll calculate distances between objects to derive color, use random numbers to teleport, and use Unity�s physics engine to engage gravity and make objects bouncy!  This Unity guided project is focused on C# coding.",object composition  color space  object-z  c sharp (programming language)  object value  restful objects  distance transform  c++  histogram of oriented gradients  color balance computer-science software-development
Performing Data Aggregation using SQL Aggregate Functions,Coursera Project Network,Intermediate,4.8,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions,"In this 2-hour long project-based course, you will learn how to retrieve data from tables in a database using SQL SELECT statement with SQL Aggregate functions. The aggregate functions we will consider in this project are COUNT, SUM, MIN, MAX and AVG. Aggregate functions are used to summarize data from rows of a table into a single value. In addition, you will learn how to set conditions on the output of an aggregate function using the HAVING clause. Finally, you will learn how to tidy up the result set of aggregate functions using the ROUND function.  Note: You do not need to be a data administrator or data analyst to be successful in this guided project, just a familiarity with querying databases using SQL SELECT statement suffice for this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled �Performing Data definition and Manipulation in SQL.""  and �Querying Databases using SQL SELECT statement�",ascendency  join (sql)  Mathematics  SQL  aggregate function  data aggregation  information retrieval  euler's totient function  relative change and difference  Databases data-science data-analysis
COVID19 Data Analysis Using Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/covid19-data-analysis-using-python,"In this project, you will learn how to preprocess and merge datasets to calculate needed measures and prepare them for an Analysis. In this project, we are going to work with the COVID19 dataset, published by John Hopkins University, which consists of the data related to the cumulative number of confirmed cases, per day, in each Country. Also, we have another dataset consist of various life factors, scored by the people living in each country around the globe.  We are going to merge these two datasets to see if there is any relationship between the spread of the virus in a country and how happy people are, living in that country.  Notes: This project works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Data Analysis  Python Programming  Matplotlib  Numpy  python libraries  analysis  Computer Programming  project  Data Visualization  Scatter Plot data-science data-analysis
Crash Course on Python,Google,Conversant,4.7,https://www.coursera.org/learn/python-crash-course,"This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem.   We'll start off by diving into the basics of writing a computer program. Along the way, you�ll get hands-on experience with programming concepts through interactive exercises and real-world examples. You�ll quickly start to see how computers can perform a multitude of tasks � you just have to write code that tells them what to do.",list comprehension  python syntax and semantics  ipython  Problem Solving  Computer Programming  semantics  syntax  Data Structures  Python Programming  data type information-technology support-and-operations
Image Processing with Python,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/image-processing-with-python,"Image processing has been used to create weird and beautiful modifications to pictures many of us have seen online. Older black and white photos can be brought to life using colorization techniques. On the other hand, color photos can be made to look like old black and white photos. In addition to distorting images for entertainment, image processing can be used for more serious applications, for example, to enhance medical imaging to screen patients for cancer or other diseases.  In this course, you will create a Python application that reads from a list of images, modifies their size and appearance, and saves the images in another directory.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",global positioning system  opencv  medical imaging  image processing  project  Python Programming  photography  Video Editing  digital image processing  Computer Programming computer-science software-development
COVID19 Data Visualization Using Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/covid19-data-visualization-using-python,"By the end of this project, you will learn How you can use data visualization techniques to answer to some analytical questions. in this project we are going to use COVID19 dataset we have consisting of the data related cumulative number of confirmed, recovered, and deaths cases. we are going to prepare this dataset to answer these questions: How does the Global Spread of the virus look like?, How intensive the spread of the virus has been in the countries? Does covid19 national lockdowns and self-isolations in different countries have actually impact on COVID19 transmission? we are going to use Plotly module, which is a great visualization tool in python, in order to plot some insightful and intuitive graphs to answer the questions.",analysis  measurement  graphs  Chart  Bar Chart  ordered pair  Python Programming  Plotly  Data Visualization  project data-science data-analysis
Databases and SQL for Data Science,IBM,Conversant,4.6,https://www.coursera.org/learn/sql-data-science,"Much of the world's data resides in databases. SQL (or Structured Query Language) is a powerful language which is used for communicating with and extracting data from databases. A working knowledge of databases and SQL is a must if you want to become a data scientist.  The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.    The emphasis in this course is on hands-on and practical learning . As such, you will work with real databases, real data science tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs you will practice building and running SQL queries. You will also learn how to access databases from Jupyter notebooks using SQL and Python.  No prior knowledge of databases, SQL, Python, or programming is required.  Anyone can audit this course at no-charge. If you choose to take this course and earn the Coursera course certificate, you can also earn an IBM digital badge upon successful completion of the course.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Computer Programming  Python Programming  Databases  ipython  SQL  Leadership and Management  ibm db2  Database Connection  Cloud Computing  relational database data-science data-analysis
Introduction to Data Science in Python,University of Michigan,Advanced,4.3,https://www.coursera.org/learn/python-data-analysis,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses.   This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python.",analysis  Pandas  Data Analysis  Computer Programming  statistical hypothesis testing  Numpy  Data Manipulation  General Statistics  hypothesis  Python Programming data-science data-analysis
Learn Javascript with zero prior programming experience,Coursera Project Network,Advanced,4,https://www.coursera.org/learn/learn-programming-with-javascript,"Absolute beginners welcome!  Did you know that programming has one of the highest dropout rates of all undergraduate majors? When approached in the wrong way, learning Javascript can be an incredibly frustrating process. In this guided project, we�ll draw upon 40 years of research into the best ways to introduce new programming concepts in an enjoyable but rapid manner.  Many courses with titles like ""Javascript for Beginners"" really mean �Javascript for people who know other programming languages but are beginners at Javascript."" This guided project will include introductory programming activities that have been extensively researched to provide you the best possible foundation for learning to program using Javascript. More importantly, it's designed to give beginner learners a firm enough foundation in programming that they can feel confident creating their own unique programs from scratch. By the end, you'll be writing your own programs to solve a challenging mystery using complex Javascript loops and conditionals.",?-recursive function  experience  Computer Programming  Web Development  Javascript  Java Programming  prior probability  recursion  calibration  multiple recursion computer-science mobile-and-web-development
"JavaScript, jQuery, and JSON",University of Michigan,Advanced,4.6,https://www.coursera.org/learn/javascript-jquery-json,"In this course, we'll look at the JavaScript language, and how it supports the Object-Oriented pattern, with a focus on the unique aspect of how JavaScript approaches OO. We'll explore a brief introduction to the jQuery library, which is widely used to do in-browser manipulation of the Document Object Model (DOM) and event handling. You'll also learn more about JavaScript Object Notation (JSON), which is commonly used as a syntax to exchange data between code running on the server (i.e. in PHP) and code running in the browser (JavaScript/jQuery).  It is assumed that learners have already taken the Building Web Applications and Building Database Applications in PHP courses in this specialization.",django (web framework)  web  mysql  jquery  json  web application  php  html  Javascript  document object model computer-science mobile-and-web-development
Analyze Box Office Data with Plotly and Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/analyze-data-plotly-python,"Welcome to this project-based course on Analyzing Box Office Data with Plotly and Python. In this course, you will be working with the The Movie Database (TMDB) Box Office Prediction data set. The motion picture industry is raking in more revenue than ever with its expansive growth the world over. Can we build models to accurately predict movie revenue? Could the results from these models be used to further increase revenue? We try to answer these questions by way of exploratory data analysis (EDA)  and feature engineering. We will primarily use Plotly for data visualization. Plotly Python which is Plotly's Python graphing library makes interactive, publication-quality graphs ready for both online and offline use.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, and scikit-learn pre-installed.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",graphs  Data Analysis  Machine Learning  Plotly  Data Visualization  Interactive Data Visualization  Feature Engineering  Python Programming  tableau software  analysis data-science machine-learning
Advanced SQL Retrieval Queries in SQLiteStudio,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/Advanced-sql-retrieval-queries-in-sqlitestudio,"In this course you will learn to write Advanced SQL (Structured Query Language) retrieval queries using SQLiteStudio. Retrieving data from a relational database is one of the primary methods used by application and web developers to display data and populate web pages. Since a database can be made up of a complex combination of relational tables, retrieving that data can be challenging. You can meet those challenges by gaining experience with some of the more Advanced SQL coding techniques. Through hands-on practice you will write SQL code to use functions and grouping, sub queries, calculated fields, and conditional expressions. In addition, you will experiment with alternative methods of joining tables for data retrieval.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",nested sql  SQL  web  euler's totient function  Databases  select (sql)  Writing  associative entity  relational database  sqlite information-technology data-management
Compose and Program Music in Python using Earsketch,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/compose-program-music-in-python-using-earsketch,"By the end of this course, you will create a basic composition using the Python programming language in Earsketch. You will learn basic Python functions in order to create a basic music composition. Learning basic Python functions will allow you to develop your skills in programming and diversify your knowledge of various programming languages. Python has become increasingly popular in computer science; knowledge of Python is highly desired in the computer science industry.",sound  Python Programming  music  user interface design  Machine Learning  language  interfaces  Computer Programming  euler's totient function  project computer-science algorithms
"Concepts in Python: Loops, Functions and Returns",Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/python-loops-functions-returns,"By the end of this project, you will create a number of examples that will develop your learning around concepts in Python. This course will enable you to take your beginner knowledge of Python to the next level by incorporating loops, functions, and returns into your programming. Thus, you will be able to develop more complex code and be able to solve more difficult problems. This course will provide students with the knowledge behind different concepts in Python such as loops, methods, and returns which will enable you to write high-quality code.  Thus, ensuring that your code is efficient and robust which is an essential aspect of writing high-quality code. This project will take students through a number of examples demonstrating the most useful Python concepts. You will gain an understanding of these concepts from the in-depth examples provided.",euler's totient function  control flow  Computer Programming  ordered pair  project  while loop  relative change and difference  return statement  nest  Python Programming computer-science software-development
"Learn to Teach Java:  Sequences, Primitive Types and Using Objects",University of California San Diego,Advanced,4.9,https://www.coursera.org/learn/teach-java-sequences-primitive-types-object,"Get started with the basics of Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll begin with simple instruction sequences, primitive types, and using objects, as covered in the APCS A Units 1 and 2.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions and assessment overviews and options for your students.",teaching  Computer Programming  modulo operation  method (computer programming)  code segment  compiler  debugging  ordered pair  brainstorming  array data structure social-sciences education
Create a Python Application using MySQL,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/create-python-application-mysql,"Data plays a crucial role in application development. It plays such a crucial role that there are people called Database Administrators that specialize in just organizing the data. The traditional database used to be, and often still is, a relational database. MySQL is one of the most popular relational databases and is backed by the Oracle corporation as well. This provides the developer with a variety of online resources. The popularity of MySQL combined with the popularity of Python has resulted in the development of an API that makes the interface between Python and MySQL almost seamless.  In this course, you will create a Python application using Python�s MySQL Connector that creates a MySQL database containing words and their definitions. You will then retrieve words and definitions from the database table, update a definition in the database table, and display a selected word�s definition.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",relational database  Python Programming  vpython  Computer Programming  SQL  object-oriented programming  project  mysql  Web Development  Databases computer-science software-development
Building a Text-Based Bank in Java,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/building-a-java-application-banking,"By the end of this project, you will learn how to create a basic banking command-line application using Java and Eclipse. This application will be able to model real life bank functions such as adding an account, increasing/decreasing the balance of an account, and allowing a user to check their balance. We will also learn how to store basic demographic information of each account holder and learn how to output a summary of all accounts.   This application will demonstrate standard programming paradigms, and teach students about essential programming concepts such as variables, commenting, input and output to the user with the Scanner class, and importing/using standard Java libraries. We will also cover more powerful concepts such as conditional statements, loops, and arrays. Students can expect to walk away from the course confident in their ability to use essential Java programming tools, with a basic working understanding of how Java functions.",java (software platform)  software  euler's totient function  Java Programming  ordered pair  i-deas  arrays  eclipse  Computer Programming  for loop computer-science software-development
Video Basics with OpenCV and Python,Coursera Project Network,Beginner,4.1,https://www.coursera.org/learn/computer-vision-video-basics-opencv-python,"In this 1-hour long project-based course, you will learn how to connect to your computer's camera, open it, record yourself or something, save it, open the video file you have saved, draw on live video, interact on live video and at the end do Face Detection.   This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with (e.g. Python, Jupyter, and Tensorflow) pre-installed.  Prerequisites: In order to be successful in this project, you should have a fundamental knowledge of Python.   Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",saving  Computer Programming  opencv  face recognition  euler's totient function  Computer Vision  Tensorflow  Python Programming  project  Machine Learning data-science machine-learning
Create Your First NoSQL Database with MongoDB and Compass,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/nosql-database-with-mongodb-and-compass,"In this Guided Project you will create a MongoDB database and collection to store blog posts, and optimize it using indexes, while having an overview of some of the basic commands, in order to learn the basics of NoSQL document databases structure, the MongoDB shell and the usage of the powerful MongoDB Compass GUI to manage, inspect and optimize a MongoDB database.  NoSQL is an alternative to traditional relational databases. NoSQL databases sacrifice some relational databases characteristics, such as a well-defined structure and strict relations between entities, in order to achieve better and easier scaling and replication, to handle large quantities of data, while being more generally flexible, cheaper and easier to manage. Instead of using tables, rows and columns, NoSQL document databases such as MongoDB use collections, documents and fields, represented with the well known JSON format.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",documents  Databases  mongodb  row (database)  NoSQL  SQL  Blog Posts  relational database  sap erp  cloud computing security information-technology data-management
Java Programming: Build a Recommendation System,Duke University,Beginner,4.7,https://www.coursera.org/learn/java-programming-recommender,"Ever wonder how Netflix decides what movies to recommend for you? Or how Amazon recommends books? We can get a feel for how it works by building a simplified recommender of our own!  In this capstone, you will show off your problem solving and Java programming skills by creating recommender systems. You will work with data for movies, including ratings, but the principles involved can easily be adapted to books, restaurants, and more. You will write a program to answer questions about the data, including which items should be recommended to a user based on their ratings of several movies. Given input files on users ratings and movie titles, you will be able to:  1. Read in and parse data into lists and maps; 2. Calculate average ratings; 3. Calculate how similar a given rater is to another user based on ratings; and 4. Recommend movies to a given user based on ratings.  5. Display recommended movies for a given user on a webpage.",Javascript  Computer Programming  netbeans  software  decipherment  Java Programming  java (software platform)  Software Engineering  Engineering Software  Computer Science computer-science software-development
Advanced Features with Relational Database Tables Using SQLiteStudio,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/Advanced-features-relational-database-table-sqlitestudio,"In this course, you�ll increase your knowledge of and experience with relational tables as you explore alternative ways of getting data into tables. You�ll also look at some of the Advanced features that can give relational tables super powers.  As you learn about the new features, you�ll use SQLiteStudio to apply them to your tables. Those features will enable your tables to more efficiently manage data�while keeping your data safe and accurate.    Tables are great for data storage. The concept of organizing data in rows and columns is familiar to most people. Accountants use spreadsheets to organize financial data, making it easier to budget and track expenses. Parents use lists with columns to track their family�s schedules so that everyone gets to participate in outside activities. Even the Internal Revenue Service gets in the game by using tax tables to provide tax amounts for a variety of incomes. Even a simple grocery list is tabular in nature. Each row is an item, with one column having the item's name/description, and a second column noting the quantity needed. It�s no surprise that database designers like to use tables in a relational database to organize and store data. In the Design and Create a Relational Database Table Using SQLiteStudio course you learned about tables. You created and populated a relational table using the SQLiteStudio database management system. That was a great beginning.  Now it's time for the next step!",database management systems  Database Design  relational database  Leadership and Management  SQL  Accuracy And Precision  project  Finance  Databases  sqlite information-technology data-management
Data Visualization with Python,IBM,Beginner,4.4,https://www.coursera.org/learn/python-for-data-visualization,"""A picture is worth a thousand words"". We are all familiar with this expression. It especially applies when trying to explain the insight obtained from the analysis of increasingly large datasets. Data visualization plays an essential role in the representation of both small and large-scale data.  One of the key skills of a data scientist is the ability to tell a compelling story, visualizing data and findings in an approachable and stimulating way. Learning how to leverage a software tool to visualize data will also enable you to extract information, better understand the data, and make more effective decisions.  The main goal of this Data Visualization with Python course is to teach you how to take data that at first glance has little meaning and present that data in a form that makes sense to people. Various techniques have been developed for presenting data visually but in this course, we will be using several data visualization libraries in Python, namely Matplotlib, Seaborn, and Folium.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Chart  Python Programming  Choropleth Map  analysis  Computer Programming  Data Visualization  Map  Matplotlib  Bar Chart  Data Analysis data-science data-analysis
Basic Artificial Neural Networks in Python,Coursera Project Network,Beginner,4,https://www.coursera.org/learn/basic-artificial-neural-networks-in-python,"In this 1-hour long project-based course, you will learn basic principles of how Artificial Neural Networks (ANNs) work, and how this can be implemented in Python. Together, we will explore basic Python implementations of feed-forward propagation, back propagation using gradient descent, sigmoidal activation functions, and epoch training, all in the context of building a basic ANN from scratch.  All of this will be done on Ubuntu Linux, but can be accomplished using any Python I.D.E. on any operating system. We will be using the IDLE development environment to write a single script to code our simple ANN. We will avoid using Advanced frameworks such as Tensorflow or Pytorch, for educational purposes.  Note that the resulting ANN we build will be use-case agnostic and be provided with dummy inputs. Hence, while the ANN we build and train today may appear to be a useless demonstration, it can easily be adapted to any type of use case if given proper, meaningful inputs.  I would encourage learners to experiment- How easy is it to add more layers without using frameworks like Tensorflow? What if we add more nodes? What limitations do we come across? The learner is highly encouraged to experiment beyond the scope of the course.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Python Programming  gradient descent  Backpropagation  Activation Function  smart grid  deployment environment  euler's totient function  Artificial Neural Networks  PyTorch  Gradient data-science machine-learning
Machine Learning with Python,IBM,Beginner,4.6,https://www.coursera.org/learn/machine-learning-with-python,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python.  In this course, we will be reviewing two main components: First, you will be learning about the purpose of Machine Learning and where it applies to the real world.  Second, you will get a general overview of Machine Learning topics such as supervised vs unsupervised learning,  model evaluation, and Machine Learning algorithms.   In this course, you practice with real-life examples of Machine learning and see how it affects society in ways you may not have guessed!  By just putting in a few hours a week for the next few weeks, this is what you�ll get. 1) New skills to add to your resume, such as regression, classification, clustering, sci-kit learn and SciPy  2) New projects that you can add to your portfolio, including cancer detection, predicting economic trends, predicting customer churn, recommendation engines, and many more. 3) And a certificate in machine learning to prove your competency, and share it anywhere you like online or offline, such as LinkedIn profiles and social media.  If you choose to take this course and earn the Coursera course certificate, you will also earn an IBM digital badge upon successful completion of the course.",Logistic Regression  Algorithms  Human Learning  data clustering algorithms  Machine Learning  statistical classification  classification algorithms  Regression  Computer Programming  Python Programming data-science machine-learning
Machine Learning with Python,IBM,Beginner,4.6,https://www.coursera.org/learn/machine-learning-with-python,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python.  In this course, we will be reviewing two main components: First, you will be learning about the purpose of Machine Learning and where it applies to the real world.  Second, you will get a general overview of Machine Learning topics such as supervised vs unsupervised learning,  model evaluation, and Machine Learning algorithms.   In this course, you practice with real-life examples of Machine learning and see how it affects society in ways you may not have guessed!  By just putting in a few hours a week for the next few weeks, this is what you�ll get. 1) New skills to add to your resume, such as regression, classification, clustering, sci-kit learn and SciPy  2) New projects that you can add to your portfolio, including cancer detection, predicting economic trends, predicting customer churn, recommendation engines, and many more. 3) And a certificate in machine learning to prove your competency, and share it anywhere you like online or offline, such as LinkedIn profiles and social media.  If you choose to take this course and earn the Coursera course certificate, you will also earn an IBM digital badge upon successful completion of the course.",Logistic Regression  Algorithms  Human Learning  data clustering algorithms  Machine Learning  statistical classification  classification algorithms  Regression  Computer Programming  Python Programming data-science machine-learning
C++ Arrays and Loops,Coursera Project Network,Conversant,Not Calibrated,https://www.coursera.org/learn/cpp-arrays-and-loops,"In this project you will read weather data from a file and populate an Array with the file data. The data is then sorted in an Array, and output to another file.  Loops are used in a C++ program whenever a sequence of code must be repeated. A common use for a while loop is to read data from a file, where the file is of unknown length. A for loop, on the other hand is often used when the repeat count of a code sequence is known. A common use of a for loop is to iterate through an array. An Array is a list of items of a fixed size where each entry is the same type of data. The array could contain numbers, Strings of characters, or a user-defined data type.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",arrays  numbers (spreadsheet)  for loop  while loop  project  sorting  jpeg  ordered pair  iteration  data type computer-science software-development
"Merge, Sort and Filter Data in Python Pandas",Coursera Project Network,Beginner,4.3,https://www.coursera.org/learn/python-pandas-merge-sort-filter,"Visualizing data patterns often involves re-arrangement and elimination to determine patterns. For example, in a list of data with yearly rainfall amounts, to quickly determine the years with the most rainfall, the data can be sorted according to rainfall in descending order. A filter could be used to limit the amount of data observed, for example, to only show rainfall amounts greater than an inch. A merge can be used to join two datasets together, for example rainfall and temperature data from two different sources. The ability to sort, merge and filter data has always existed using SQL with database data, now it can be done in application memory space using Python.  In this course, you will create an application that reads data from two CSV files. You will learn how to merge, sort, and filter the data to ultimately produce a regression plot to determine a possible correlation between two data sets.",merge sort  Pandas  jpeg  Regression  sorting  inequality (mathematics)  Algebra  Correlation And Dependence  Mergers & Acquisitions  Python Programming data-science data-analysis
Learn to Teach Java: Inheritance and Recursion,University of California San Diego,Advanced,4.5,https://www.coursera.org/learn/teach-java-inheritance-recursion,"Learn to program with Inheritance and Recursion in Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll cover the  Java concepts of inheritance and recursion, as covered in the APCS A Units 9 and 10.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions, assessment overviews, code tracing and problem solving skills for your students, including preparation for free response coding questions.",node.js  Writing  ordered pair  teaching  recursion  exit (system call)  compiler  code segment  method (computer programming)  ?-recursive function social-sciences education
